Period,Range,BLS_Call_%,BLS_Put_%,MLP_Call_%,MLP_Put_%,Call_Improvement_%,Put_Improvement_%
Training,Short,75.9681484972399,78.721325330303,2.4217750000000002,2.787875,96.82,96.47
Training,Mid,68.37356082306188,72.1432390887336,2.4478500000000003,2.2396499999999997,96.39,96.9
Training,Long,46.73241124490353,51.77082311242076,4.50795,3.4411250000000004,89.76,93.23
Testing,Short,70.85313618767654,72.70985633550127,22.807724999999998,26.33035,67.82,63.82
Testing,Mid,64.52015479873559,67.31171869259907,21.25231666666667,24.0354,66.96,64.22
Testing,Long,46.242045707990414,50.226820213227015,21.019,22.476075,53.96,54.72
