,100,375,650,815,1035,1325,2200,3500,6500,15000,Mean
Baseline ANN + SGD Train,3.4763083408745477,4.270032745897534,4.078187661040777,4.243034776785723,4.075400714167662,4.057489240153802,4.095773245555921,4.320329088266024,4.1739224071245165,4.2947671901732996,4.10852454100398
Baseline ANN + SGD + Momentum Train,0.6467157838874794,1.2204491275314004,1.2376977183886761,1.2942959600117054,1.2116806611975763,1.2566097816336022,1.2963778452559087,1.3229334390563519,1.323114161358366,1.330259086372142,1.2140133564693207
Expanded ANN + Adam Train,0.21537382510339967,1.1049877702405455,0.38711322979313967,0.9436697050886459,0.5633306042875393,0.760500365671431,0.554450898282287,1.163474738482991,0.6931677985488426,1.0124804120669053,0.7398549347565727
Expanded ANN + SGD Train,1.7747446259908115,3.2582041579116408,3.8872645091097975,3.718667845478237,4.839528156060538,4.113873553261208,5.377882683665079,6.888060723273602,4.80154198047003,5.357377560307277,4.401714579552822
Baseline ANN + SGD Test,6.2450525159569485,4.868436698714076,4.724868208366544,4.895870783805428,5.191748993116439,4.562981834887046,4.922554869511233,4.858259381936248,4.68081528809106,4.7351257276141725,4.96857143019992
Baseline ANN + SGD + Momentum Test,2.6121095801073237,1.879926792994055,1.7363640277890877,1.591579707964572,1.6402595408177705,1.7212679927289536,1.5748629124127909,1.461870252240434,1.5254686297905247,1.3751393960881872,1.7118848832933697
Expanded ANN + Adam Test,4.578572809386064,1.9060261040133,1.2976366773330512,1.6224629121589538,1.8338072359377593,1.3338825217911878,1.0326721360509319,1.3459435332061926,0.8955098430277815,1.151323157577274,1.6997836930482495
Expanded ANN + SGD Test,6.745097193080205,5.161250450008465,4.747188143440831,4.137039567135195,6.661420071219733,4.733311424296803,6.5290625890389835,7.952231067347607,5.1429535342859305,5.581733570309015,5.739128761016277
Mean Option Price (Train) %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Mean Option Price (Test) %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
